Word,Type,Context,Source,Derivative,Parts,Vowels,Consonants,Structure,Comments
Albegiido,location,Albegiido valley,HW1-M,Albegiido,"hal,al,alb,be,e,gi,id,o","a,e,i,ii,o","l,b,g,d","YZXYXYYZ,XYZXYXYYZ,XYZ, YZ,XYXYYZ,XYYZ",H'al-be-giid-o?
Chak'm'Hot,culture,The winds of the desert seasonal superstorm,HW1-M,Chak'm'Hot,"cha,ak,am,ho,ot,","a,x,o","ch,k,m,h,t","XYZYZ,XYZ,XYXYZ",
Chiisur,name,"Chiisur Paktu, Fleet Admiral",HW1-M,Chiisur,"chi,is,ur","i,ii,u","ch,s,r",XYYZYZ,
Cor,culture,ｫWrathｻ,HW1-O,Cor,"co,ko,or,cor,kor",o,"k,c,r",XYZ,Kor?
Daiamid,culture,Kiithid gathering,HW1-M,Daiamid,"da,a,i,ai,am,id","a,i,ia,ya","d,y,m",XYYZYZ,IA as YA? IO as YO?
Diirvaas,culture,Ancient discipline of sword-dancing,HW1-O,Diirvaas,"di,ir,va,as","i,a,ii,aa,","d,r,v,s",XYYZXYYZ,
Doine,kiith,"Per Doine, the radical",HW1-M,Doine,"do, in, e","o,i,e","d,n",XYYZ,Not clear how to spell it. DO'-IN?
Ferin-Sha,culture,"""Dancing Ground""",HW1-M,Ferin,"fe,er,in","e,i","f,r,n",XYZYZ,
Ferin-Sha,culture,"""Dancing Ground""",HW1-M,Sha,"sha,a",a,sh,XY,
Ferriil,kiith,Kiith - major religious,HW1-M,Ferriil,"fe,er,ri,il","e,i,ii","f,r,rr,l","XYZXYYZ,XYZ,XYYZ",
Fiirkan,biom,A small desert hunting bird,HW1-O,Fiirkan,"fi,ir,irk,ka,an","i,ii,a","f,r,k,n","XYYZ,XYZ,XYYZXYZ,XYYZYZ",
Fliir,name,Fliir S男et,HW1-M,Fliir,"f',fli,li,ir","i,ii","f,l,r",XYYZ,F'liir?
Fushai,ship,Taiidan Cloak Generator,HW1-O,Fushai,"fu,ush,a,ai","u,a,i","f,sh",XYZ,
Gaalsien,kiith,Kiith - major religious,HW1-M,Gaalsien,"ga,al,si,en","a,aa,i,e","g,l,s,n","XYYZ,XYYZXYYZ",
Gar,name,"Gar Naabal, the engineer",HW1-M,Gar,"ga,ar",a,"g,r",XYZ,
Gritiidim,culture,ｫSand peopleｻ,HW1-M,Gritiidim,"gri,it,ti,id,im","i,ii","g,r,t,d,m","XYXYYZYZ,XYZYYXYZ,XY,XYZ,XYYZ,XYYZYZ,XYXYYZ",Parallel to Siidim
Haarsuk,planet,Jovian of Kharak System,HW1-M,Haarsuk,"Ha,ar,su,uk","a,aa,u","h,r,s,k","XYYZ, XYZ,XYYZXYZ",
Heeshk,ship,Taiidan support frigate,HW1-O,Heeshk,"He,eshk","e,ee","h,sh,k",XYYZ,
Hiigara,planet,ｫOur Homeｻ,HW1-G,Hiigara,"hi,hii,ig,ga,ar,a","i,ii,a","h,g,r",XYXYZ,
Hraal,kiith,Kiith - industrial,HW1-M,Hraal,"ha,hra,ra,al","a,aa","h,r,l","XYXYYZ,XYYZ",H'raal could be an option
Hunon,location,South Pole Mountains,HW1-M,Hunon,"hu,un,no,on","u,o","h,n,n","XYZYZ,XYXYZ",
Huur,name,Huur S男et,HW1-M,Huur,"hu,ur","u,uu","h,r",XYYZ,
Ifriit,name,Ifriit Naabal,HW1-M,Ifriit,"if,ri,it","i,ii","h,r,t","XYZXYYZ,XYZ,YZ,XYYZ",H'ifriit? H'if-Riit? Muad'Dib?
Jakuul,deity,A deity,HW1-M,Jakuul,"ja,ku,ul","a,u,uu","j,k,l",XYXYYZ,
Jaraci,kiith,"Leykab Jaraci, the astronomer",HW1-M,Jaraki,"ja,ar,ra,ak,i,rac,ac","a,a,i","j,r,k","XYXYZ,XYZYZ",This C asks for K - Jaraki
Jora,name,Jora Manaan,HW1-M,Jora,"jo,or,a","o,a","j,r",XYZ,
Kaark,ship,Taiidan bomber,HW1-O,Kaark,"ka,ark","a,aa","k,r,k",XYYZ,
Karan,name,"Know her, love her ｩ",HW1-G,Karan,"ka,ar,an",a,"k,r,n",XYZYZ,
Khar,ship,Ship-name starting part,HW1-G,Khar,"kha,ar",a,"kh,r",XYZ,
Khar-Selim,ship,The ship that met Turanics,HW1-G,Selim,"se,el,im","e,i","s,l,m",XYZYZ,
