Word,Type,Origin,Source,Ending,Parts,Vowels,Consonants,Structure,Comments
Hiigara,planet,"Planet, a place of Kushan origin; Definition, «Our Home»",HW1-G,a,"hi,ga,ar","i,ii,a","h,g,r",XY-XYZ,
Karan,name,"Person, S'jet Karan, Know Her Love Her (c)",HW1-G,,"ka,ar,an",a,"k,r,n",XYZ-YZ,
Khar,ship,"Definition, Ship-name starting part
Khar-Toba
Khar-Selim",HW1-G,,"kha,ar",a,"kh,r",XYZ,
Kharak,planet,"Planet, a place of Kushan Exile",HW1-G,,"kha,ar,ak",a,"kh,r,k",XYZ-YZ,
Kiith,culture,"Definition, ""Family/Clan""",HW1-G,,"ki,xth","i,ii","k,th",XYYZ,
Kushan,people,"People, The Interstellar Exiles",HW1-G,,"ku,ush,xsh,sha,an","u,a","k,sh,n",XY-XYZ,
S’jet,kiith,"Kiith, scientific",HW1-G,,"s',je,et","e,x","s,j,t",XY-XYZ,
Selim,ship,"KSN ship, Khar-Selim, KSN support vessel for Mothership",HW1-G,,"se,el,li,im","e,i","s,l,m","XYZ-YZ,",
Taiidan,people,"People, The Interstellar Empire",HW1-G,,"ta,id,an","a,i,ii","t,d,n",XYYZ-YZ,"Well, it should be alien word"
Toba,ship,"KSN ship, Khar-Toba, Exile ship, a base for Kharak's First city",HW1-G,a,"to,ob","o,a","t,b",XYZ,
Albegiido,location,"Kharak's location, valley, starting point of Paktu journey",HW1-M,o,"ha,al,be,gi,id,do","a,e,i,ii,o","l,b,g,d",XYZ-XY-XYYZ,H'al-be-giid-o?
Chak'm'Hot,culture,Kharak's desert seasonal superstorm,HW1-M,,"cha,ak,am,ho,ot,","a,x,o","ch,k,m,h,t","XYZ, XY-XYZ,XYZ-YZ",
Chiisur,name,"Person, Paktu Chiisur, KSN Fleet Admiral",HW1-M,,"chi,is,su,ur","i,ii,u","ch,s,r","XYYZ-YZ,XYi-XYZ",
Daiamid,culture,Kiithid parlament,HW1-M,,"da,xi,am,id","a,i","d,m",XYYZ-YZ,IA as YA? IO as YO?
Doine,kiith,"Kiith, of zealot Doine Per",HW1-M,e,"do,in,ne","o,i,e","d,n",XYYZ,Not clear how to spell it. DO'-IN?
Ferin,culture,"Definition, Ferin-Sha, ""Dancing Ground""",HW1-M,,"fe,er,in","e,i","f,r,n",XYZ-YZ,
Ferriil,kiith,"Kiith, major religious",HW1-M,,"fe,er,ri,il","e,i,ii","f,r,rr,l","XYZ-XYYZ,XY-XYYZ",
Fliir,name,"Person, S’jet-Sa Fliir, kiith-sa to reveal connection with Naabal",HW1-M,,"fli,ir","i,ii","f,l,r",XYYZ,F'liir?
Gaalsien,kiith,"Kiith, major religious",HW1-M,,"ga,al,si,en","a,aa,i,e","g,l,s,n",XYYZ-XYYZ,
Gar,name,"Person, Naabal Gar, the engineer of sand protections of Saju-Ka",HW1-M,,"ga,ar",a,"g,r",XYZ,
Gritiidim,culture,"Definition, «Sand people»",HW1-M,,"gri,it,ti,id,im","i,ii","g,r,t,d,m",XY-XYYZ-YZ,Parallel to Siidim; possible as [Griitidim]?
Haarsuk,planet,"Planet, Kharak's System Jovian",HW1-M,,"ha,ar,su,uk","a,aa,u","h,r,s,k",XYYZ-XYZ,
Hra,kiith,"Kiith, Liir-Hra, the space industry",HW1-M,a,hra,a,"h,r",XY,H'raal -> H'ra? doesn't look like
Hraal,kiith,"Kiith, industrial",HW1-M,,"hra,al","a,aa","h,r,l",XYYZ,H'raal could be an option
Hunon,location,"Kharak's location, South Pole Mountains",HW1-M,,"hu,un,no,on","u,o","h,n,n",XY-XYZ,
Huur,name,"Person, S’jet-Sa Huur, father of Karan S'jet",HW1-M,,"hu,ur","u,uu","h,r",XYYZ,
Ifriit,name,"Person, Naabal-Sa Ifriit, leader of Intervention to end Heresy Wars",HW1-M,,"if,ri,it","i,ii","h,r,t",XYZ-XYYZ,"H'ifriit? H'if-Riit? Muad'Dib? Also, in HWC - Iifrit"
Jaakul,deity,Deity,HW1-M,,"ja,ak,ku,ul","a,u,uu","j,k,l",XYYZ-YZ,Jaakul (HW1) & Jakuul (HWC)
Jaraki,kiith,"Kiith, of astronomer Jaraci Leykab, Khar-Toba's finder",HW1-M,i,"ja,ar,ra,ak","a,a,i","j,r,k",XY-XYZ,This C asks for K - Jaraki
Jora,name,"Person, Manaan-Sa Jora, started a war against Siidim",HW1-M,a,"jo,or","o,a","j,r",XYZ,
Ka,city,"City of Kharak, Saju-Ka, Gaalsien capital, destroyed by them",HW1-M,a,ka,a,k,XY,
Kim,name,"Person, Paktu-Sa Kim, grandson of Majiir",HW1-M,,"ki,im",i,"k,m",XYZ,
Kriil,name,"Person, S’jet Kriil, a Xenogenesis theory author",HW1-M,,"kri,il",ii,"k,r,l",XYYZ,K'riil?
Leikab,name,"Person, Jaraci Leykab, Khar-Toba's finder",HW1-M,,"le,xi,ik,ka,ab","e,i,a","l,y,k,b","XY-XYZ,XYi-XYZ",
Liam,name,"Person, Gaalsien Liam, a leader of the last crusade to South",HW1-M,,"li,am","i,a","l,m",XYYZ,
Liir,kiith,"Kiith, Liir-Hra, the space industry",HW1-M,,"li,ir","i,ii","l,r",XYYZ,
Magann,kiith,"Kiith, of spaceman Rei Magann",HW1-M,,"ma,ag,ga,ann",a,"m,g,n,nn",XY-XYZ,
Majiir,name,"Person, Paktu-Sa Majiir, leader of fleeing people from Siidim",HW1-M,,"ma,ji,ir","a,i,ii","m,j,r",XY-XYYZ,
Manaan,kiith,"Kiith, trading, diplomacy, acting",HW1-M,,"ma,na,an","a,aa","m,n,n",XY-XYYZ,
Mevath,name,"Person, Sagald Mevath, the archeologist of Khar-Toba",HW1-M,,"me,ev,va,xth","e,a","m,v,th","XY-XYZ,XYZ-YZ",
Miirpat,name,"Person, Gaalsien-Sa Miirpat, destroyed Saju-Ka sand protection",HW1-M,,"mi,ir,pa,at","i,ii,a","m,r,p,t",XYYZ-XYZ,
Naabal,kiith,"Kiith, engineering",HW1-M,,"na,ab,al","aa,a","n,b,l",XYYZ-YZ,
Paktu,kiith,"Kiith, South Pole",HW1-M,u,"pa,ak,tu","a,u,uu","p,k,t",XYZ-XY,
