Word,Type,Origin,Source,Ending,Parts,Vowels,Consonants,Structure,Comments
Akkad,culture,HGN project to replace hyperspace cores lost aboard Khar-Sajuuk,HW3-M,,"ak,ka,ad",a,"k,d",XYZ-XYZ,
Az,ship,"HGN codename, Sho-Az, Bomber, HGN 15th Fleet",HW3-G,,az,a,z,XYZ,"Patel-Sho, Sho-Az, Azkar, Kaark..."
Azkar,ship,"HGN codename, Azkar, Interceptor, HGN 15th Fleet",HW3-G,,"az,ka,ar",a,"z,k,r",XYZ-XYZ,"""Z"" is not common in KSN lang, unless it's TDN influence"
Baal,name,"Person, strike adm. Ba'al Soban, cmndr of Carrier ""Khar Toran"", HGN 5th Fleet",HW3-M,,"ba,al","a,aa","b,l",XYYZ,Apostrophe is not needed
Baalor,name,"Person, Baalor Manaan, a journalist",HW3-M,,"ba,al,or","a,aa,o","b,l,r",XYYZ-YZ,
Baran,name,"Person, Baran Kaalel, strike cmndr of Destroyer ""Galtos"", HGN 5th Fleet",HW3-M,,"ba,ar,ra,an",a,"b,r,n","XY-XYZ,XYZ-YZ",Baran - a stubburn ram in Russian :)
Beladin,ship,"HGN ship, Habeladin, Frigate, patrol cmndr Challa Paktu, HGN 5th Fleet",HW3-M,,"be,el,la,ad,di,in","a,e,i","b,l,d,n","XYZ-YZ-YZ,XY-XYZ-YZ",Beladin Dune Sea (c) HWDOK? Ha - dunes? sea? Ha-Majiir?
Benai,name,"Person, cpt. Benai S'jet, Recon sqd 525",HW3-M,i,"be,en,na,xi","e,a,i","b,n","XY-XY,XYZ",
Boreaal,ship,"HGN ship, Boreaal, Frigate, cmndr Ezeera Somtaaw, HGN 5th Fleet",HW3-M,,"bo,re,al","o,e,a,aa","b,r,l",XY-XYYYZ,It's Boreal in HW3 map
Challa,name,"Person, Challa Paktu, patrol cmndr of Frigate ""Ha'beladin"", HGN 5th Fleet",HW3-M,a,"cha,al,all,la",a,"ch,l,ll","XYZ-XY,XYZ",Like Siim Salla
Chuldah,name,"HGN ship, Chuldah's Hope, Resource Controller, cmndr Lazlo Somtaaw, HGN 5th Fleet",HW3-M,,"chu,ul,uld,da,ah","u,a","ch,l,d,h",XYZ-XYZ,"Who's Chuldah? I guess, it's Aliens reference"
D'an,ship,"HGN ship, Kalik D'an, Geon-class destroyer, resolved a rebellion at Sh'tar 4B",HW3-M,,"dx,an","x,a","d,n,m,n",XYYZ,
D'katar,name,"Person, cpt. D'katar H'raal, Interceptor wng 81",HW3-M,,"dx,ka,at,ta,ar","x,a","d,k,t,r",XY-XY-XYZ,
D'neimon,ship,"HGN codename, D'neymon, Suppression Frigate, HGN 15th Fleet",HW3-G,,"dx,ne,xi,mo,on","x,e,i,o","d,n,m,n",XY-XY-XYZ,Fixed
Dala,name,"Person, cpt. Dala Paktu, Interceptor wng 92",HW3-M,a,"da,al",a,"d,l",XYZ,
Darrian,name,"Person, strike adm. Darrian Soban, cmndr of Carrier ""Deskar Fal"", HGN 5th Fleet",HW3-M,,"da,ar,arr,ri,an","a,i","d,r,rr,n","XY-XYYZ,XYZ-XYYZ","Double letters are not common in KSN lang, unless it's TDN influence"
Derak,ship,"HGN ship, Der'ak Nor, Destroyer, strike commander Iiian Paktu, HGN 5th Fleet",HW3-M,,"de,er,ak","e,a","d,r,k",XYZ-YZ,
Deskar,ship,"HGN ship, Deskar Fal, cmndr adm. Darrian Soban, HGN 5th Fleet",HW3-M,,"de,es,ka,ar","e,a","d,s,k,r","XYZ-XYZ, XY-XYZ",
Ezeera,name,"Person, Ezeera Somtaaw, cmndr of Frigate ""Boreaal"", HGN 5th Fleet",HW3-M,a,"xe,ze,er","e,ee","z,r",XY-XYYZ,"""Z"" is not common in KSN lang, unless it's TDN influence"
Faal,ship,"HGN ship, Faal Lan, Frigate, patrol cmndr Taraa Soban, HGN 5th Fleet",HW3-M,,"fa,al","a,aa","f,l",XYYZ,Faal-Corum
Fadak,ship,"HGN ship, Fadak, Destroyer, strike cmndr Jerek Manaan, HGN 5th Fleet",HW3-M,,"fa,ad,da,ak",a,"f,d,k","XY-XYZ,XYZ-YZ",
Fal,ship,"HGN ship, Deskar Fal, cmndr adm. Darrian Soban, HGN 5th Fleet",HW3-M,,"fa,al",a,"f,l",XYZ,
Fel,name,"Person, Fel Manaan, patrol cmndr of Frigate ""Haal'Ta"", HGN 5th Fleet",HW3-M,,"fe,el",e,"f,l",XYZ,
Ferin,ship,"HGN ship, Ferrin Sal, Geon-class destroyer, resolved a rebellion at Sh'tar 4B",HW3-M,,"fe,er,ri,in","e,i,a","f,r,n","XYZ-XYZ,XYZ-YZ,XY-XYZ",
Forenthsla,ship,"HGN ship, Forenthsla, Frigate, cmndr L’kov H’raal, HGN 5th Fleet",HW3-M,a,"sla,fo,or,re,enth","o,e,a","f,r,n,th,s,l",XY-XYZ-XY,overcomplicated
Gaalan,name,"Person, Gaalan H'raal, Bomber flight 51",HW3-M,,"ga,al,an","a,aa","g,l,n",XYYZ-YZ,
Gal,location,"HGN location, Gal'Geth, supervulcano, and HGN codename, Battlecruiser, HGN 15th Fleet",HW3-M,,"ga,al",a,"g,l",XYZ,
Galtos,ship,"HGN ship, Galtos, Destroyer, strike cmndr Baran Kaalel, HGN 5th Fleet",HW3-M,,"ga,al,to,os","a,o","g,l,t,s",XYZ-XYZ,
Gar,name,"Person, Gar Kaalel, patrol cmndr of Frigate ""Krak’or"", HGN 5th Fleet",HW3-M,,"ga,ar",a,"g,r",XYZ,
Geon,ship,"HGN codename, Geon, Destroyer, HGN 15th Fleet",HW3-G,,"ge,on","e,o","g,n",XYYZ,
Geth,location,"HGN location, Gal'Geth, supervulcano, and HGN codename, Battlecruiser, HGN 15th Fleet",HW3-M,,"ge,eth,xth",e,"g,th",XYZ,
Ginaar,space,"Galactic location, Ginaar's Shoal, ",HW3-M,,"gi,na,ar","i,a","g,n,r",XY-XYYZ,
Glorith,name,"Person, Glorith Paktu, cmndr of Frigate ""Vinn Cal"", HGN 5th Fleet",HW3-M,,"glo,or,ri,xth","o,i","g,l,r,th","XYZ-YZ,XY-XYZ",
H'reks,ship,"HGN codename, H'rex, Railgun Corvette, HGN 15th Fleet",HW3-G,,"hx,re, xks","x,e","h,r,k,s",XY-XYZ,X is not KSN usual consonant combination
Ha,ship,"HGN ship, Habeladin, Frigate, patrol cmndr Challa Paktu, HGN 5th Fleet",HW3-M,,ha,a,h,XY,
