Word,Type,Origin,Source,Ending,Parts,Vowels,Consonants,Structure,Comments
A’kadath,culture,"Definition, “Victory is work”: ancient Kharakid phrase",HWDOK-M,,"xA,ax,ka,ad,da,xth",a,"k,d,th","XY-XYZ-YZ,XY-XY-XYZ",Malketh - Jadeth - A'Kadath?
Aard’th,ship,"KSN codename for Gaalsien Assault Ship, Aard’th Saar",HWDOK,,"xA,xaa,ar,ard,dx,xth","a,aa,x","r,d,th","XYYZ-YZ,XYYZ-XYZ",H'Aard'th?
Akalon,ship,"KSN ship, Akalon, Coalition Siidim desert carrier",HWDOK,,"xA,ak,ka,al,on","a,o","k,l,n","XYZ-YZ-YZ,XY-XYZ-YZ",
Amida,ship,"KSN ship, Amida, Coalition Siidim desert carrier",HWDOK,a,"xA,am,id","a,i","m,d",XYZ-YZ,
Ashinta,ship,"KSN ship, Ashinta, Gaalsien desert carrier",HWDOK,a,"xA,xsh,shi,in,int,ta","a,i,a","sh,n,t","XYZ-YZ,XYZ-YZ-XY,XY-XYZ-XYZ,XY-XYZ",
Ashoka,ship,"KSN ship, Ashoka, Gaalsien desert carrier",HWDOK,a,"xA,xsh,ok","a,o","sh,k","XYZ-YZ,XY-XYZ",
B’shiir,location,"Kharak location, B'shiir, The Great Stormbreaker Wall Guardian Fort",HWDOK,,"bx, shi,ir","x,i,ii","b,sh,r",XY-XYYZ,
B’tiir,biom,"Kharak fauna, B'tir, Deep desert brood tunneler",HWDOK,,"bx,ti,ir","x,i,ii","b,t,r",XY-XYZ,"B’tiir, OK? Tiir — underground worker? :)"
B’tir,biom,"Kharak fauna, B'tir, Deep desert brood tunneler",HWDOK,,"bx,ti,ir","x,i","b,t,r",XY-XYZ,"B’tiir, OK? Tiir — underground worker? :)"
Baer,kiith,"Kiith, known by Jonas Baer, adventurer, Khaaneph lover",HWDOK,,"ba,er","a,e,ae","b,r",XYYZ,"Ba’er — here it would be good, really"
Beladin,location,"Kharak location, Beladin Formation and Dune Sea",HWDOK,,"be,el,la,ad,di,in","e,a,i","b,l,d,n","XYZ-YZ-YZ, XY-XYZ-YZ",
Biaan,location,"Kharak location, Biaan, The Great Stormbreaker Wall Guardian Fort",HWDOK,,"bi,aa,an","i,a,aa","b,n",XYYYZ,"Hard to say, but if feels off a bit"
Bokiir,ship,"KSN codename for Gaalsien Precision Bomber, Bokiir",HWDOK,,"bo,ki,ir","o,i,ii","b,k,r",XY-XYYZ,
Brii,culture,"Culture, Skaal Brii, Jaraci Anomaly operation",HWDOK,i,"bri,xi","i,ii","b,r",XY,
Chriil,biom,"Kharak fauna, animal “so clever it hunts its own tail to death""",HWDOK,,"chri,il","i,ii","ch,r,l",XYYZ,
Dekard,name,"Person, Deckard Naabal, cpt of Ifriit Naabal heavy carrier",HWDOK,,"de,ka,ard","e,a","d,k,r",XY-XYZ,Dekaar would have looked better
Dhaigren,location,"Kharak location, definition - ""Dreamlands""",HWDOK,,"dha,xi,ig,re,en","a,i,e","dh,d,h,g,r,n","XY-XYZ,XYi-XYZ",
Duuk,deity,"Deity, Caaw Duuk, an ancient spirit of Harvest",HWDOK,,"du,uk","u,uu","d,k",XYYZ,
F’ksbat,ship,"KSN codename for Gaalsien Interceptor, F'xbat",HWDOK,,"fx,xks,ba,at","x,a","f,k,s,b,t",XYZ-XYZ,Could have been better
Faaern,location,"Kharak location, Faaern Gorge",HWDOK,,"faa,fa,er,ern","a,aa,ae,e","f,r,n",XYYYZ,
Faagan,culture,"Definition, the extended rope, and «heretic»",HWDOK,,"faa,fa,ag,ga,an","a,aa","f,g,n",XYYZ-YZ,
Fagaan,culture,"Definition, the extended rope, and «heretic»",HWDOK,,"fa,ga,an","a,aa","f,g,n",XY-XYYZ,If it’s Fagaan: Alternative writing
Fiiskire,ship,"KSN ship, Fiiskire, Coalition Siidim desert carrier",HWDOK,e,"fi,is,isk,ir","i,ii,e","f,s,k,r","XYYZ-XYZ,XYYZ-YZ",Fiiskiir or Fiiskir/a would have been better
Gaarket,name,"Person, Gaarket S'jet-Sa",HWDOK,,"ga,ar,ark,ke,et","a,aa,e","g,r,k,t","XYYZ-YZ,XYYZ-XYZ",
Haariri,biom,"Kharak fauna, the largest animal on Kharak",HWDOK,i,"ha,ar,ir","a,aa,i","h,r",XYYZ-YZ,
Hail,name,"Person, Hail and Pyke Soban, authors of a battle manuever",HWDOK,,"ha,il","a,i","h,l",XYYZ,
